Equipment Fault Number & Desc,Equipment Short Name,Count of Faults,Duration
582 - DB1-CARTON TURNER JAM AT MT10DB 21 (582),DELIVERY BELT 1,431,826.2333333
560 - DC2-GENERAL BCR FAULT (560),WOOD OUT,429,4576.866667
22 - PL1-E-9C SAFETY EYE IS BLOCKED (22),PALLETIZER 1,426,334.6333333
114 - MP FALLEN CAN LOWER TIER LANE 3 (114),Maxim Packer,419,621.2833333
426 - PL2 CS-M INFEED OFF/ON SWITCH TURNED OFF (426),PALLETIZER 2,411,1883.633333
23 - PL1-E-9D SAFETY EYE IS BLOCKED (23),PALLETIZER 1,409,2074.933333
576 - PL2-HOIST BLOCK IS OUT OF POSITION (576),PALLETIZER 2,407,9420.666667
96 - DP CONVEYORS NOT IN AUTO (96),DEPALLETIZER,403,10979.16667
140 - FC1-TT10F-1 & 12 NOT IN AUTO CST10P2 (140),FULL CAN 1,390,2362.633333
570 - PL2-LOW AIR DETECTED ALARM (570),PALLETIZER 2,384,11286.83333
116 - MP FALLEN CAN LOWER TIER LANE 5 (116),Maxim Packer,383,622.5166667
562 - AL LANE A NO ENDS PRESENT (562),ALF DEBAGGER,383,315.4833333
577 - FC1 WEST COMBINER PAN FULL (577),FULL CAN 1,373,630.75
566 - RS WEST (RIGHT) LN TWIST COMBINER JAM (566),RINSER,369,196.1666667
591 - PS LOG OUT @ DISCHARGE RESET @ CST-P2 (591),PASTEURIZER,369,1177.633333
794 - EC VIDEO JET CODER B ENCODER/DET FAULT (794),EMPTY CAN,343,5946.2
117 - MP FALLEN CAN LOWER TIER LANE 6 (117),Maxim Packer,335,376.7833333
9030 - Runout Complete - Begin Interface dump,FILLER,327,1197.6
9010 - AutoBrand Change Initiated,FILLER,326,2681.6
120 - MP FALLEN CAN UPPER TIER LANE 3 (120),Maxim Packer,321,619.1666667
560 - FC1-FILTEC 1&2 LANE JAM (560),FULL CAN 1,318,981.4333333
578 - DB1-MERGE JAM ON 24 (578),DELIVERY BELT 1,318,372.2666667
9050 - AutoBrand Change Complete,FILLER,316,5.266666667
9040 - Dump Complete - wait on acknowledge,FILLER,314,674.2166667
34 - CJ CARTON FEED GUARD OPEN (34),12/12 Packer,312,420.0333333
583 - DB1-JAM AT MAXIM PKR INCLINE DB1-27 (583),DELIVERY BELT 1,309,191.4
577 - PS DISCHARGE BACKUP LOWER DECK FAULT (577),PASTEURIZER,307,1228.566667
426 - CJ FUMEX DIFF. PRESSURE FAULT (426),12/12 Packer,305,4616.3
593 - MP UPR TIER 2 CONSCTV SHORT CNTS DETECT (593),Maxim Packer,300,673.7666667
0 - CJ E-STOP PRESSED (0),12/12 Packer,298,79.03333333
9020 - Brewing Complete - Begin runout,FILLER,294,4.9
625 - AL2-PALLET POSITION CYLINDER MOTION (625),ALF LID DEPAL,292,781.4833333
602 - MP LASER CODER NOT READY (602),Maxim Packer,291,446.5666667
65 - AL DEBAGGER NOT IN AUTO START (65),ALF DEBAGGER,289,843.7833333
565 - PL2-PALLET MISFEED ALARM (565),PALLETIZER 2,287,1398.816667
566 - FC1-FILTEC 3&4 ONE FILTEC FAULTED (566),FULL CAN 1,281,245.5833333
38 - MP GUARD DOOR 2 OPEN (38),Maxim Packer,277,738.1
9049 - AutoBrand Change Aborted,FILLER,274,789.4
160 - PL1-RACK 7 1ST 1/4 FLT MAIN REDIPANEL1 (160),PALLETIZER 1,269,7212.1
560 - PL2-LOAD OUT OF PLUMB (560),PALLETIZER 2,261,842.7333333
146 - CN MISSING CARTON (146),2/12 Packer,259,326.9166667
144 - CJ MISSING LOAD (144),12/12 Packer,256,6.966666667
488 - FC1-VSD10F-9 FAULTED (488),FULL CAN 1,249,996.7
562 - FC1-FILTEC 1&2 ONE FILTEC FAULTED (562),FULL CAN 1,249,8365.083333
1 - PL2-CS-DC DISCHARGE E-STOP PUSHED ALARM (1),PALLETIZER 2,244,3510.7
"579 - MP RUNOUT IN PROGRESS ALIGN CANS, INFEED(579)",Maxim Packer,241,193.55
32 - CJ DRYING CONVEYOR GUARD OPEN (32),12/12 Packer,238,346.95
433 - CJ SHORT COUNT DETECTED (433),12/12 Packer,238,610.9
574 - MP FC COMBINER OFF @ MAXIM (CST-2 INFD) (574),Maxim Packer,237,787.1666667
20 - PL1-E-9A SAFETY EYE IS BLOCKED (20),PALLETIZER 1,236,3480.75
705 - RS EAST RINSER WATER PRESSURE LOW (705),RINSER,233,16.38333333
25 - PL2-E-9F SAFETY EYE IS BLOCKED (25),PALLETIZER 2,232,2291.066667
18 - PL1-PX-GS1 SAFETY GATE #1 OPEN (18),PALLETIZER 1,227,421.65
570 - PL1-LOW AIR DETECTED ALARM (570),PALLETIZER 1,220,4963.116667
569 - FC1-WEST COMBINER JAM FAULT (569),FULL CAN 1,219,348.0333333
576 - FC1 EAST COMBINER PAN FULL (576),FULL CAN 1,216,361.1166667
34 - CN CARTON FEED GUARD OPEN (34),2/12 Packer,214,199.3833333
560 - DB2-DIVERTER 44/49 JAMMED IN AUTO - NORTH(560),DELIVERY BELT 2,214,793.25
22 - PL2-E-9C SAFETY EYE IS BLOCKED (22),PALLETIZER 2,213,464.15
45 - MP GUARD DOOR 9 OPEN (45),Maxim Packer,213,191.7
32 - AL DEBAGGER INFEED GUARDS OPEN (32),ALF DEBAGGER,211,7210.716667
23 - PL2-E-9D SAFETY EYE IS BLOCKED (23),PALLETIZER 2,206,1710.583333
416 - CN DISCHARGE JAM (416),2/12 Packer,203,354.4
611 - MP DOWN CAN AT LOWER TIER STAR #1 (611),Maxim Packer,203,3726.6
566 - FL DISCHARGE JAM (566),FILLER,201,324.15
584 - MP MISSING TRANSPORT LUG ON LOADER SIDE (584),Maxim Packer,200,195.4333333
657 - MP PHS-CARTON PLT STATION 2 ROLLERS JAM (657),Maxim Packer,199,1300.9
509 - DP LOAD RAISED TOO HIGH (509),DEPALLETIZER,198,227.4333333
427 - CJ FALLEN CAN LANE 1 (427),12/12 Packer,196,2883.333333
43 - MP GUARD DOOR 7 OPEN (43),Maxim Packer,196,324.4
55 - AL2-MAIN LIFT REAR DOOR SWITCH OPEN (55),ALF LID DEPAL,195,938.0333333
33 - CJ GLUE STATION GUARD OPEN (33),12/12 Packer,194,191.6666667
35 - CJ TRANSFER GUARD OPEN (35),12/12 Packer,190,199.5333333
48 - MP GUARD DOOR 12 OPEN (48),Maxim Packer,187,211.5
561 - DB2-DIVERTER 44/49 JAMMED IN AUTO - SOUTH(561),DELIVERY BELT 2,186,1861.583333
421 - PL1-E-Z2S BLOCKED TOO LONG ALARM (421),PALLETIZER 1,185,127.2666667
511 - FC1-BLR10F-9 DEVICE FAULT (511),FULL CAN 1,185,242.95
565 - PL1-PALLET MISFEED ALARM (565),PALLETIZER 1,183,413.7333333
141 - FC1-EAST COMBINER NOT IN AUTO CST10F9 (141),FULL CAN 1,178,1399.55
144 - CN MISSING LOAD (144),2/12 Packer,176,93.85
160 - PL2-RACK 7 1ST 1/4 FLT MAIN REDIPANEL1 (160),PALLETIZER 2,176,4887.7
579 - PS DISCHARGE BACKUP UPPER DECK FAULT (579),PASTEURIZER,172,534.6
144 - FC1-WEST COMBINER NOT IN AUTO CST10F20 (144),FULL CAN 1,170,2005.7
118 - MP FALLEN CAN UPPER TIER LANE 1 (118),Maxim Packer,166,162.1666667
21 - PL1-E-9B SAFETY EYE IS BLOCKED (21),PALLETIZER 1,163,1500.816667
430 - PL2 HIGH FLAP TURNED INFEED OFF (430),PALLETIZER 2,163,3385.816667
35 - MP GUARD DOOR 20 OPEN (35),Maxim Packer,161,422.1333333
64 - AL DEBAGGER NOT IN AUTO MODE (64),ALF DEBAGGER,159,155.9333333
658 - CL DISCHARGE HOLD DOWN BAR LS PNLVW ALM (658),SEAMER,159,524.05
113 - MP FALLEN CAN LOWER TIER LANE 2 (113),Maxim Packer,153,253.0333333
115 - MP FALLEN CAN LOWER TIER LANE 4 (115),Maxim Packer,153,322.1833333
467 - DP MESH BELT FAULT (467),DEPALLETIZER,153,9891.683333
510 - DP LIGHT CURTAIN BLOCKED (510),DEPALLETIZER,150,2772.65
614 - AL2-PAPER ROLLER CYLINDER MOTION (614),ALF LID DEPAL,149,83.08333333
667 - CL FLR/SEAMER XFER CONV LIMIT SW PNLVW (667),SEAMER,148,2446.416667
597 - AL LANE B DEBAGGER DISCHARGE NO CAN LID (597),ALF DEBAGGER,142,357.6333333
25 - PL1-E-9F SAFETY EYE IS BLOCKED (25),PALLETIZER 1,137,96.75
417 - CN OPEN FLAP FAULT (417),2/12 Packer,137,4585.133333
420 - PL1-LAYER PUSHER RAN TOO LONG ALARM (420),PALLETIZER 1,134,267.9166667
42 - MP GUARD DOOR 6 OR 6A OPEN (42),Maxim Packer,133,216.3166667
560 - DC1-DISCHARGE CONVEYOR #3 FAULT (560),DUNNAGE,133,45328.61667
421 - CJ LOADER FAULT (421),12/12 Packer,132,3062.666667
119 - MP FALLEN CAN UPPER TIER LANE 2 (119),Maxim Packer,130,2303.5
432 - DB1-EE10DB-6-A DIVERTER JAM EYE NOT CLEAR(432),DELIVERY BELT 1,129,855.75
419 - PL1-E-2J BLOCKED TOO LONG ALARM (419),PALLETIZER 1,127,112.8166667
587 - MP LOADING JAM (587),Maxim Packer,127,256.8166667
33 - CN GLUE STATION GUARD OPEN (33),2/12 Packer,125,206.5166667
101 - DC2-AC-14 NOT IN AUTO MODE (101),WOOD OUT,120,1061.95
573 - AL END HOLDUP TRAVEL CYLINDER MOTION (573),ALF DEBAGGER,116,572.4333333
425 - CN FLAPSTAR FAULT (425),2/12 Packer,115,339.4
65 - PS PASTEURIZER STOPPED (65),PASTEURIZER,111,5388.033333
16 - AL2-LID DEPALL CONTROL POWER OFF (16),ALF LID DEPAL,108,8379.316667
64 - MP PALLET STACKER NOT IN AUTO (64),Maxim Packer,108,999.8
591 - MP LOWER TIER FALLEN CAN STOP MACHINE (591),Maxim Packer,106,1346.2
118 - DB1-MT10DB-28 STOPPED BUT AUX CONTACT CLOSED(118),DELIVERY BELT 1,105,71.81666667
35 - CN TRANSFER GUARD OPEN (35),2/12 Packer,103,89.38333333
666 - CL SEAMER HANDWHL ENGAGED LS PNLVW ALM (666),SEAMER,103,4634.283333
147 - CJ MISSING CARTON AT MAGAZINE (147),12/12 Packer,101,135.9833333
24 - PL2-E-9E SAFETY EYE IS BLOCKED (24),PALLETIZER 2,100,1489.033333
495 - DB1-MT10DB-23 MOTOR FAULT (495),DELIVERY BELT 1,100,497.0166667
432 - PL1 PUSHER RAN TOO LONG IN HIGH SPEED (432),PALLETIZER 1,98,138.2833333
595 - MP DISCHARGE JAM (595),Maxim Packer,98,242.2166667
164 - PL1-RACK 10 1ST 1/4 FLT DSCH CNV REDIPNL (164),PALLETIZER 1,94,2167.216667
175 - FC1 BLOWER 7 PAST. DISCH IS NOT RUNNING (175),FULL CAN 1,94,602.9
576 - AL LANE A LID SWEEP CYLINDER MOTION (576),ALF DEBAGGER,93,226.55
481 - DP SWEEP DRIVE FAULTED (481),DEPALLETIZER,91,2022.433333
613 - AL2-PACK PUSHER CYLINDER MOTION (613),ALF LID DEPAL,91,808.7166667
24 - PL1-E-9E SAFETY EYE IS BLOCKED (24),PALLETIZER 1,89,1140.1
423 - CJ CARTON FEED RAISED FAULT (423),12/12 Packer,88,877.2666667
594 - FL BOWL LEVEL DROP DETECTED-STUCK VALVE (594),FILLER,88,421.0166667
633 - BP FL GATE NOT ENABLED FROM BREWIN-NO DT(633),BEER PIPE,88,124.4
665 - CL SEAMER WASH VLV NOT IN RUN PNLVW ALM (665),SEAMER,87,11638.66667
705 - FL HEUFT 5 CONSECUTIVE LOW FILLS (705),FILLER,87,235.7166667
167 - AL PLC RACK # 7 FAULTED (167),ALF DEBAGGER,86,26912.93333
569 - RS CHUTE JAM AT VP10E-8 VAC TXFR BELT (569),RINSER,86,403.8666667
672 - MP AXIS3 FLAP CLOSER (LS) SERVO FAULT (672),Maxim Packer,84,78.96666667
755 - DB1-CASE COUNT EYE EE10DB-33-A DEVIATION (755),DELIVERY BELT 1,84,148.3666667
788 - EC VIDEO JET CODER A NOT READY (788),EMPTY CAN,84,5493.233333
1618 - MP AXIS 2 POSITION ERROR FAULT (1618),Maxim Packer,83,164.75
