Equipment Fault Number & Desc,Equipment Short Name,Count of Faults,Duration
26 - DC2-SAFETY FENCE EAST END (26),WOOD OUT,32,55.48333333
32 - CL DOOR SW #1 HARD WIRED/STATUS CONFLICT (32),SEAMER,32,18.01666667
422 - DP INFEED CONV #7 JAM MOVING LOAD (422),DEPALLETIZER,32,69.58333333
569 - SW2-CARRIAGE IS NOT AT HOME (569),STRETCH WRAP 2,30,4.216666667
615 - PS *ZONE 7 LOW TEMP FAULT (615),PASTEURIZER,30,28.6
631 - PS *ZONE 7 HIGH TEMP FAULT (631),PASTEURIZER,30,9.533333333
507 - DP MESH BELT IS OFF (507),DEPALLETIZER,29,23.65
516 - DP SWEEP NOT EXT/RET FAULT (516),DEPALLETIZER,29,22.1
3 - DP TO PV E-STOP 1 ACTIVE (3),DEPALLETIZER,28,7102.65
428 - CJ FALLEN CAN LANE 2 (428),12/12 Packer,28,189.2
429 - CJ FALLEN CAN LANE 3 (429),12/12 Packer,28,99.68333333
496 - FC1-VSD10F-17 FAULTED (496),FULL CAN 1,28,1213.933333
571 - PL2-LOAD TOO HIGH TO DISCHARGE ALARM (571),PALLETIZER 2,28,963.7
578 - AL LANE A SHUTTER LOWER MOTION (578),ALF DEBAGGER,28,227.1
680 - CL CO2 VLV TO SEAMER PNL FAILED TO CLOSE(680),SEAMER,28,8567.633333
21 - DB3-E-STOP PRESSED AT CST10DB3-1 (21),DELIVERY BELT 3,27,4935.883333
482 - FC2 VSD10F-37 FAULT (482),FULL CAN 2,26,3971.1
639 - MP L10 BALER STOPPED - BALE TOO LONG (639),Maxim Packer,26,389.95
647 - BP SV10L-30506 FL CIP DRN VLV NOT CLOSED(647),BEER PIPE,26,5694
2 - DB2-E-STOP PRESSED AT MOTOR 43 (2),DELIVERY BELT 2,25,3043.7
433 - FC1 BLR10F-9 NO FAULT NOT RUNNING (433),FULL CAN 1,25,58.2
523 - DP COMPRESION BAR NOT RETRACTED (523),DEPALLETIZER,25,416.75
583 - DB3-FIRST CASE DIDNT MAKE IT TO WAREHOUSE(583),DELIVERY BELT 3,25,710.9833333
595 - FL CCP#1 PQC REQD - RINSER H20 PRESSURE (595),FILLER,25,87.55
676 - CL N2 SURGE TANK LOW PRESSURE ALARM (676),SEAMER,25,76.63333333
84 - FL CANS AT CHANGE POINT (84),FILLER,25,92.78333333
25 - DC2-SAFETY FENCE EAST OF LOAD/UNLOAD (25),WOOD OUT,24,12.8
454 - DP DISCHARGE CNVR #2 JAM MOVING LOAD (454),DEPALLETIZER,23,126.9166667
754 - CN LOW MAGAZINE (754),2/12 Packer,23,2701.15
492 - DB1-MT10DB-20 MOTOR FAULT (492),DELIVERY BELT 1,22,34.03333333
501 - DB2-MOTOR MS-33 VSD DRIVE FAULTED (501),DELIVERY BELT 2,22,4116.1
520 - DP PALLET STOP NOT DOWN (PRX63511) (520),DEPALLETIZER,22,142.9833333
531 - DP AT LEAST 1 FRAME ARM DID NOT EXTEND (531),DEPALLETIZER,22,295.3666667
574 - PL1-HOIST CONV FAULT BIT (574),PALLETIZER 1,22,199.2166667
596 - AL LANE A DEBAGGER DISCHARGE NO CAN LID (596),ALF DEBAGGER,22,40.65
596 - PS *ZONE 5 LOW SPRAY PRESSURE FAULT (596),PASTEURIZER,22,260.7333333
64 - FC1-FULL CAN SYSTEM STOPPED AT EEP10F1 (64),FULL CAN 1,22,6613.25
150 - FC1-FILTEC #4 FAULTED (150),FULL CAN 1,21,34.33333333
532 - DP AT LEAST 1 FRAME ARM DID NOT RETRACT (532),DEPALLETIZER,21,124.9666667
548 - DP FRAME REMOVER DID NOT LOWER (548),DEPALLETIZER,21,3.516666667
620 - BP BEER O2 HIGH ALARM (620),BEER PIPE,21,168.9
630 - AL2-PAPER DETECTED WITH MAIN LIFT DOWN (630),ALF LID DEPAL,21,148.1166667
635 - BP DOMOTOR CLOSED FROM BREWING (635),BEER PIPE,21,27.35
97 - DB2-MT10DB-34 NOT IN AUTO AT CST10DB34 (97),DELIVERY BELT 2,21,7611.433333
105 - DB2-MT10DB-42 NOT IN AUTO AT CST10DB42 (105),DELIVERY BELT 2,20,901.7333333
24 - DC2-SAFETY FENCE DPL INFD TO LOAD/UNLOAD (24),WOOD OUT,20,20.21666667
46 - MP GUARD DOOR 10 OPEN (46),Maxim Packer,20,34.36666667
494 - AL AIR HOLDUP MOTOR FAULT (494),ALF DEBAGGER,20,5371.016667
496 - DP CHOPPER DRIVE FAULTED (M1) (496),DEPALLETIZER,20,14.58333333
510 - FC1-BLR10F-8 DEVICE FAULT (510),FULL CAN 1,20,149.65
566 - DB2-CASES JAMMED AT 10DB-45 (566),DELIVERY BELT 2,20,74.68333333
576 - MP 2ND GLUE PHOTOEYE FAILURE (576),Maxim Packer,20,23.5
"584 - PL2-E-14A, REAR HOIST AREA BLOCKED (584)",PALLETIZER 2,20,42.06666667
663 - MP PHS-STACKER TABLE JAM (663),Maxim Packer,20,382.1833333
224 - PS *SUPERVISOR COMMUNICATION FAULT (224),PASTEURIZER,19,117.6333333
3 - DB1-E-STOP PRESSED AT CST10DB4 (3),DELIVERY BELT 1,19,1353.033333
433 - PL2 PARTIAL PALLET COUNTDOWN COMPLETE (433),PALLETIZER 2,19,35.21666667
482 - MP DAWSON MAIN INFD CONV DRV FLT DIVFD1 (482),Maxim Packer,19,161.6333333
508 - DP LOAD HEIGHT SENSOR DID NOT CLEAR (508),DEPALLETIZER,19,51.86666667
544 - AL2-PAPER CONVEYOR FAULT (544),ALF LID DEPAL,19,45.25
573 - FL HI HI BOWL TEMP - PERFORM WB DUMP (573),FILLER,19,302.0666667
581 - AL LANE B LID SWEEP CYLINDER MOTION (581),ALF DEBAGGER,19,37.41666667
433 - DP INFEED CONV #5 DWNSTRM PE BLKD PASS (433),DEPALLETIZER,18,54.23333333
604 - MP GLUE UNIT LOW TANK LEVEL (604),Maxim Packer,18,54.6
627 - AL2-PALLET INFD STAGE #5 LOAD FALL LEFT (627),ALF LID DEPAL,18,20.2
656 - MP PHS-CARTON PLT STATION 1 ROLLERS JAM (656),Maxim Packer,18,448.2666667
0 - CN E-STOP PRESSED (0),2/12 Packer,17,31.73333333
449 - DB2 CONVEYOR STOPPED FROM HMI (449),DELIVERY BELT 2,17,5536.183333
499 - DB1-MT10DB-27 MOTOR FAULT (499),DELIVERY BELT 1,17,372.4333333
533 - DP FRAME HOIST JAMMED (533),DEPALLETIZER,17,99.35
543 - DP SHEET HOIST WAITING TO DISCH LOAD (543),DEPALLETIZER,17,38.98333333
604 - PS *ZONE 11 LO SPRAY PRESS-ZONE 1 SCREENS(604),PASTEURIZER,17,153.5166667
60 - MP DIVERTER GUARD DOOR 1 OPEN (60),Maxim Packer,17,35.5
61 - MP DIVERTER GUARD DOOR 2 OPEN (61),Maxim Packer,17,62.65
679 - DP TO PV FWD OVER-TRAVEL X-AXIS (679),DEPALLETIZER,17,7520.083333
117 - DB1-MT10DB-27 STOPPED BUT AUX CONTACT CLOSED(117),DELIVERY BELT 1,16,0.85
17 - DC2-SAFETY FENCE EAST OF AC-2 FAULT (17),WOOD OUT,16,7511.883333
418 - PL1-E-2 BLOCKED TOO LONG ALARM (418),PALLETIZER 1,16,30.38333333
458 - DP #7 INFEED CNVR EXIT BLKD (458),DEPALLETIZER,16,39.11666667
486 - DB2-MOTOR MS-39 FAILED TO RUN (486),DELIVERY BELT 2,16,66.25
54 - AL2-PACK ELEVATOR DOOR SWITCH OPEN (54),ALF LID DEPAL,16,97.21666667
573 - PL1-LAYER PUSHER FAULT (573),PALLETIZER 1,16,21.51666667
579 - AL LANE A SHUTTER UPPER MOTION (579),ALF DEBAGGER,16,30.13333333
599 - PS *ZONE 7 LOW SPRAY PRESSURE FAULT (599),PASTEURIZER,16,68.9
636 - DB3-CASES JAMMED AT 10DB3-61 (636),DELIVERY BELT 3,16,71.95
66 - RS VAC PRESS. VP10E-8 NOT IN AUTO (66),RINSER,16,602.5833333
96 - FC1-VSD10F-1 NOT IN AUTO AT EEP10F1 (96),FULL CAN 1,16,6560.533333
492 - FY MOTOR TT10Y-10 FAULTED (492),FILLER CONV,15,19.33333333
614 - MP DOWN CAN AT LOWER TIER STAR #4 (614),Maxim Packer,15,54.36666667
664 - MP PHS-STACKER FORKS JAM (664),Maxim Packer,15,95.7
0 - FC1-E-STOP PRESSED AT EEP10F1 (0),FULL CAN 1,14,3228.716667
18 - PL2-PX-GS1 SAFETY GATE #1 OPEN (18),PALLETIZER 2,14,17.91666667
430 - CJ FALLEN CAN LANE 4 (430),12/12 Packer,14,25
433 - DB1-MT10DB-9 MOTOR FAULT (433),DELIVERY BELT 1,14,0.25
480 - DC1-CONVEYOR 30003 DRIVE FAULTED (480),DUNNAGE,14,1466.7
4 - DB1-E-STOP PRESSED AT CST10DB6 (4),DELIVERY BELT 1,14,938.9333333
565 - FL CLOSING CAM H2O LUBE LOW ALARM (565),FILLER,14,2135.416667
597 - PS *ZONE 6 LOW SPRAY PRESSURE FAULT (597),PASTEURIZER,14,23.58333333
618 - MP DOWN CAN AT UPPER TIER STAR #2 (618),Maxim Packer,14,29.35
659 - CL INFEED RAIL LS10L-30711 TRIPPED (659),SEAMER,14,116.4666667
681 - CL N2 VLV TO FILLER BOWL FAILED TO OPEN (681),SEAMER,14,3947.366667
0 - DP E-STOP PRESSED MAIN CONSOLE (0),DEPALLETIZER,13,1480.75
120 - DB1-MT10DB-30 STOPPED BUT AUX CONTACT CLOSED(120),DELIVERY BELT 1,13,0.416666667
224 - MP PHS-LOSS OF COMMUNICATION (224),Maxim Packer,13,60.9
416 - PL1-E-1 BLOCKED TOO LONG ALARM (416),PALLETIZER 1,13,17.11666667
561 - AL BAG REMOVAL CHUTE JAM FAULT (561),ALF DEBAGGER,13,351.6833333
571 - DP SHEET REMOVER FAILED TO RELEASE SHEET(571),DEPALLETIZER,13,15.48333333
575 - DC2-T-CAR PICK FROM WOODOUT JAM (575),WOOD OUT,13,58.76666667
576 - DB1-SDN #1 NOT SCANNING CHANNEL A (576),DELIVERY BELT 1,13,781.35
577 - AL LANE A LID SWEEPER OUT OF POSITION (577),ALF DEBAGGER,13,32.98333333
579 - DB1-MAXIM 2/12 DELIVERY BELT DIVERTER JAM(579),DELIVERY BELT 1,13,65.53333333
625 - BP ENTIRE BEER PIPE LOS - CALL BREWING (625),BEER PIPE,13,225.9833333
649 - BP SV10L-30507 BRW CIP SPLY VL NOT CLOSE(649),BEER PIPE,13,1652.633333
102 - RS B10E-7 NOT IN AUTO AT EEP10E1 (102),RINSER,12,1155.45
111 - DB2-MT10DB-51 NOT IN AUTO AT CST10DB51 (111),DELIVERY BELT 2,12,105.4333333
145 - FC2 FULL CAN SYSTEM STOPPED (145),FULL CAN 2,12,0.333333333
23 - DC2-SAFETY FENCE DEPAL OUTFEED TO INFEED (23),WOOD OUT,12,623.2666667
34 - PL2-LAYER HEIGHT MUST BE 14 OR LESS (34),PALLETIZER 2,12,111.35
487 - FC2 VSD10F-32 FAULT (487),FULL CAN 2,12,1438.666667
493 - DB1-MT10DB-21 MOTOR FAULT (493),DELIVERY BELT 1,12,1462.183333
537 - AL2-MAIN ELEVATOR UP FAULT (537),ALF LID DEPAL,12,14.33333333
571 - MP 3 CONSECUTIVE OPEN INNER FLAPS (571),Maxim Packer,12,69.3
597 - FL CANS STUCK AT CAN STOP (597),FILLER,12,65.68333333
605 - MP LASER CODER HAS MISFIRED (605),Maxim Packer,12,70.48333333
664 - CL SERVICE DOOR OPEN DISCHARGE SIDE (664),SEAMER,12,2254.166667
770 - MP MASTER AXIS REFERENCE REQUIRED (770),Maxim Packer,12,1277.6
131 - FC2 TT10F-33 NOT IN AUTO FROM CST10F33 (131),FULL CAN 2,11,102.9
148 - FC1-FILTEC #2 FAULTED (148),FULL CAN 1,11,30.15
20 - DB3-E-STOP PRESSED AT EEP10DB3 (20),DELIVERY BELT 3,11,1677.8
420 - DP INFEED CONV #5 JAM MOVING LOAD (420),DEPALLETIZER,11,41.63333333
434 - FC1 BLR10F-8 DISCONNECT IS TURNED OFF (434),FULL CAN 1,11,2299.816667
4 - DP TO PV E-STOP 2 ACTIVE (4),DEPALLETIZER,11,4.75
538 - DP AT LEAST 1 SHT HOIST ARM DIDNT EXTND (538),DEPALLETIZER,11,92.08333333
569 - MP LOWER TIER OVERLOAD CLUTCH (569),Maxim Packer,11,70.7
85 - FL FILLER BOWL LEVEL NOT IN AUTO (85),FILLER,11,23.11666667
108 - DB2-MT10DB-46 NOT IN AUTO AT CST10DB46 (108),DELIVERY BELT 2,10,142.1833333
162 - PS *RACK 1/4-7 FAULT @ EEP10P1 (162),PASTEURIZER,10,2601.133333
19 - PL1-PX-GS2 SAFETY GATE #2 OPEN (19),PALLETIZER 1,10,9.316666667
1 - MP EMERGENCY STOP AT INFEED STATION (1),Maxim Packer,10,89.76666667
417 - PL2-E-1A BLOCKED TOO LONG ALARM (417),PALLETIZER 2,10,15.36666667
432 - DP INFEED CONV #4 DWNSTRM PE BLKD PASS (432),DEPALLETIZER,10,36.98333333
481 - DB3-VSD10DB3-61(VSD50DB1-41) DRIVE FAULT (481),DELIVERY BELT 3,10,780.95
481 - PL2-L.ROLLER 2 DRIVE FAULT (481),PALLETIZER 2,10,283.6666667
489 - DC1-CONVEYOR 40403 DRIVE FAULTED (489),DUNNAGE,10,603.0833333
535 - AL2-MAIN LIFT INFEED FORWARD FAULT (535),ALF LID DEPAL,10,114.95
54 - MP GUARD DOOR 18 OPEN (54),Maxim Packer,10,10.73333333
583 - MP MISSING TRANSPORT LUG ON OPER SIDE (583),Maxim Packer,10,5.95
609 - BP PH VALUE LOW LIMIT FAULT (609),BEER PIPE,10,272.7166667
681 - PS *ZN 6 HEAT EXCH PRES SW FLD TO RESET (681),PASTEURIZER,10,3788.916667
683 - PS *ZN 8 HEAT EXCH PRES SW FLD TO RESET (683),PASTEURIZER,10,2711.633333
6 - FC1-E-STOP PRESSED AT CST10F20A (6),FULL CAN 1,10,2946.033333
102 - DB2-MT10DB-39 NOT IN AUTO AT CST10DB39 (102),DELIVERY BELT 2,9,6.15
121 - DB1-MT10DB-31 STOPPED BUT AUX CONTACT CLOSED(121),DELIVERY BELT 1,9,0.233333333
129 - FC2 VSD10F-29 NOT IN AUTO CST10F30B (129),FULL CAN 2,9,230.2666667
12 - DB1-E-STOP PRESSED AT CST10DB28A (12),DELIVERY BELT 1,9,9.95
162 - AL2-PLC RACK # 2 FAULTED (162),ALF LID DEPAL,9,349.85
34 - CL DOOR SW #3 HARD WIRED/STATUS CONFLICT (34),SEAMER,9,11.71666667
422 - PL1-E-LFS BLOCKED TOO LONG ALARM (422),PALLETIZER 1,9,22.13333333
431 - DP INFEED CONV #3 DWNSTRM PE BLKD PASS (431),DEPALLETIZER,9,26.25
453 - DP DISCHARGE CNVR #1 JAM WHILE PASSING (453),DEPALLETIZER,9,39.2
481 - FL CO2 BLOWER FAULT (481),FILLER,9,43.96666667
487 - MP DISCHARGE CONVEYOR DRIVE FAULT DVFD2 (487),Maxim Packer,9,31.43333333
4 - FC2 E-STOP PRESSED AT CST10F32 (4),FULL CAN 2,9,2266.866667
562 - DC2-OVERHANG PHOTOEYE FAULT (562),WOOD OUT,9,66.85
564 - PL1-HOIST LOWERED TOO LONG ALARM (564),PALLETIZER 1,9,8.983333333
565 - AL LANE B DISCH REVERSE / NO LID DETECT (565),ALF DEBAGGER,9,12.88333333
566 - SW1-INFEED SHUTDOWN DEFECTIVE (566),STRETCH WRAP 1,9,11.98333333
571 - PL1-LOAD TOO HIGH TO DISCHARGE ALARM (571),PALLETIZER 1,9,52.6
619 - BP CO2 OUT OF RANGE ALARM (619),BEER PIPE,9,20.45
619 - MP DOWN CAN AT UPPER TIER STAR #3 (619),Maxim Packer,9,27.35
624 - BP RELEASABLE VOLUME BELOW SETPOINT (624),BEER PIPE,9,72.91666667
636 - MP L10 BALER PLATTEN ADVANCE TOO LONG (636),Maxim Packer,9,83.33333333
642 - AL2 Pack Detect PE I4316 Not Clear Fault (642),ALF LID DEPAL,9,26.96666667
101 - DB2-MT10DB-38 NOT IN AUTO AT CST10DB38 (101),DELIVERY BELT 2,8,0.55
104 - DB1-MT10DB-11 STOPPED BUT AUX CONTACT CLOSED(104),DELIVERY BELT 1,8,136.7833333
104 - DB2-MT10DB-41 NOT IN AUTO AT CST10DB41 (104),DELIVERY BELT 2,8,2.333333333
106 - DB1-MT10DB-14 STOPPED BUT AUX CONTACT CLOSED(106),DELIVERY BELT 1,8,34.71666667
110 - DB1-MT10DB-20 STOPPED BUT AUX CONTACT CLOSED(110),DELIVERY BELT 1,8,0.166666667
119 - DB1-MT10DB-29 STOPPED BUT AUX CONTACT CLOSED(119),DELIVERY BELT 1,8,0.166666667
2 - FL E-STOP PRESSED AT CST-CD (2),FILLER,8,2.416666667
34 - MP GUARD DOOR ZONE 1 OPEN (34),Maxim Packer,8,14.4
36 - PL2-LAYER HEIGHT MUST BE 6 OR LESS (36),PALLETIZER 2,8,100.75
416 - FC1-BLR10F-1 NOT IN AUTO AT EEP10F1 (416),FULL CAN 1,8,1512.25
488 - DB2-MOTOR MS-41 FAILED TO RUN (488),DELIVERY BELT 2,8,35.43333333
500 - AL BAG STRIPPING CYCLE FAILURE (500),ALF DEBAGGER,8,6.1
546 - DP SHEET RAKE DID NOT LOWER (546),DEPALLETIZER,8,54.01666667
567 - FL CO2 SUPPLY LOW FLOW AT FILLER (567),FILLER,8,202.05
570 - SW2-RING TRAVEL UP AUTO HGT EYE DEF (570),STRETCH WRAP 2,8,7.4
600 - MP GLUE UNIT NOT READY (600),Maxim Packer,8,954.9
607 - MP LOWER TIER FILTEC SYSTEM FAILURE (607),Maxim Packer,8,49.83333333
618 - BP OUT OF SPEC BEER AT DOMOTOR ALARM (618),BEER PIPE,8,16.66666667
626 - BP MICROMOTION FLOW XMITTER FAILURE (626),BEER PIPE,8,289.75
642 - MP UNFORMED CARTON STUCK IN PACKER (642),Maxim Packer,8,14.35
6 - DB1-E-STOP PRESSED AT CST10DB11A (6),DELIVERY BELT 1,8,8.416666667
96 - DB2-MT10DB-33 NOT IN AUTO AT CST10DB33 (96),DELIVERY BELT 2,8,1341.616667
130 - FC2 TT10F-33 NOT IN AUTO CST10F33 (130),FULL CAN 2,7,41.95
416 - PL2-E-1 BLOCKED TOO LONG ALARM (416),PALLETIZER 2,7,19.56666667
423 - DP INFEED CONV #1 JAM WHILE PASSING (423),DEPALLETIZER,7,31.35
432 - PL2 PUSHER RAN TOO LONG IN HIGH SPEED (432),PALLETIZER 2,7,3.65
480 - MP LOWER TIER INFEED DRIVE FAULT VFD 1 (480),Maxim Packer,7,3.4
483 - FC1-VSD10F-4 FAULTED (483),FULL CAN 1,7,2082.616667
485 - SW1-MS10SW12-9 CONVEYOR 9 FAULTED (485),STRETCH WRAP 1,7,1116.566667
491 - DB2-MOTOR MS-44 FAILED TO RUN (491),DELIVERY BELT 2,7,18.13333333
494 - FC1-VSD10F-15 FAULTED (494),FULL CAN 1,7,17.76666667
566 - SW2-INFD AUTO SHUTDOWN EYE PE-5 FLT (566),STRETCH WRAP 2,7,5
568 - MP GLUE UNIT POWER OFF (568),Maxim Packer,7,90.6
5 - FC1-E-STOP PRESSED AT CST10F22 (5),FULL CAN 1,7,50.5
617 - MP DOWN CAN AT UPPER TIER STAR #1 (617),Maxim Packer,7,15.23333333
624 - AL2-PAPER HANDLING CYLINDER MOTION (624),ALF LID DEPAL,7,5.283333333
626 - MP PALLET HAND. CONTROL POWER IS OFF (626),Maxim Packer,7,916.4833333
672 - CL UNDERCOVER GAS LOW LOW SPEED ALARM (672),SEAMER,7,15.33333333
96 - MP DAWSON MAIN INFEED CONV NOT IN AUTO (96),Maxim Packer,7,57.91666667
105 - DB1-MT10DB-12 STOPPED BUT AUX CONTACT CLOSED(105),DELIVERY BELT 1,6,0.116666667
129 - EC TT10E-6 NOT IN AUTO AT CST10E-7 (129),EMPTY CAN,6,5.533333333
145 - FC1-WEST FILTEC CNV NOT IN AUTO CST10F22 (145),FULL CAN 1,6,96.8
164 - AL2-PLC RACK # 4 FAULTED (164),ALF LID DEPAL,6,229.9166667
241 - DB3-SDN #1 BLOCK TRANSFER 62 WRITE ERROR (241),DELIVERY BELT 3,6,1116.633333
35 - CL DOOR SW #4 HARD WIRED/STATUS CONFLICT (35),SEAMER,6,12.06666667
40 - CL DOOR SW #6 HARD WIRED/STATUS CONFLICT (40),SEAMER,6,2.9
423 - PL2-E-Z3S BLOCKED TOO LONG ALARM (423),PALLETIZER 2,6,22.71666667
424 - PL2 PALLET TINES RETRACT TO LONG WARNING (424),PALLETIZER 2,6,4.966666667
427 - DP INFEED CONV #5 JAM WHILE PASSING (427),DEPALLETIZER,6,12.68333333
505 - DB2-MOTOR MS-46 VSD DRIVE FAULTED (505),DELIVERY BELT 2,6,1254.866667
505 - DP HOIST ENTRANCE SAFETY MAT FAULT (505),DEPALLETIZER,6,597.5666667
508 - FC1-BLR10F-6 DEVICE FAULT (508),FULL CAN 1,6,84.03333333
517 - SW1-M10SW21-10 TO 9 JAM DETECTED (517),STRETCH WRAP 1,6,7.45
521 - DP PALLET STOP NOT DOWN (PRX63511) (521),DEPALLETIZER,6,50.51666667
524 - DP COMPRESION BAR NOT EXTENDED (524),DEPALLETIZER,6,6.883333333
525 - DB2-CONV DS-46 DISCONNECT SWITCH OPEN (525),DELIVERY BELT 2,6,386.3166667
528 - SW2-9 TO 10 JAM DETECTED (528),STRETCH WRAP 2,6,14.85
529 - DB2-CONV DS-50 DISCONNECT SWITCH OPEN (529),DELIVERY BELT 2,6,894.8
536 - DP FRAME HOIST DISCH PE S WERE BLOCKED (536),DEPALLETIZER,6,28.51666667
539 - SW1-30 TO 31 JAM DETECTED (539),STRETCH WRAP 1,6,27.8
562 - DP LOWER HOIST TO RETRACT SWEEP (562),DEPALLETIZER,6,6.833333333
565 - MP ORBI-TRAK AIR OFF (565),Maxim Packer,6,17.26666667
577 - SW1-CARRIAGE FAULT OPEN (577),STRETCH WRAP 1,6,3.8
580 - DB1-MERGE JAM MOTOR 14 (580),DELIVERY BELT 1,6,20.31666667
580 - DB2-SDN #1 NOT SCANNING CHANNEL A (580),DELIVERY BELT 2,6,21.63333333
595 - PS *ZONE 4 LOW SPRAY PRESS-ZONE 8 SCREENS(595),PASTEURIZER,6,25.61666667
598 - FL GASSING PANEL LO FLO CHK INFEED STAR?(598),FILLER,6,10.85
620 - MP DOWN CAN AT UPPER TIER STAR #4 (620),Maxim Packer,6,8.933333333
98 - DB1-MT10DB-5 STOPPED BUT AUX CONTACT CLOSED(98),DELIVERY BELT 1,6,0.8
102 - DB1-MT10DB-9 STOPPED BUT AUX CONTACT CLOSED(102),DELIVERY BELT 1,5,0.1
1044 - MP SERVO AXIS 4 MODULE FAULT (1044),Maxim Packer,5,8.516666667
117 - FC2 TT10F-30 NOT IN AUTO AT WKS (117),FULL CAN 2,5,0.85
143 - FC1-EAST FILTEC CNV NOT IN AUTO CST10F22 (143),FULL CAN 1,5,12.85
16 - PL1-E-12 SAFETY EYE BLOCKED ALARM (16),PALLETIZER 1,5,1.95
18 - DC2-SAFETY FENCE AC-4 TO 6 FAULT (18),WOOD OUT,5,5.15
21 - DC2-SAFETY FENCE WEST END FAULT (21),WOOD OUT,5,7.5
424 - DP INFEED CONV #2 JAM WHILE PASSING (424),DEPALLETIZER,5,29.5
426 - DP INFEED CONV #4 JAM WHILE PASSING (426),DEPALLETIZER,5,8.35
426 - FC1-BLR10F-1 NOT IN AUTO AT CST10FBBLR (426),FULL CAN 1,5,3
428 - PL2 CS-DC INFEED OFF/ON TURNED OFF (428),PALLETIZER 2,5,753.7833333
435 - FC1 BLR10F-9 DISCONNECT IS TURNED OFF (435),FULL CAN 1,5,1.2
457 - DP PALLET JAMMED AT INFEED TO HOIST (457),DEPALLETIZER,5,6.216666667
481 - RS VAC BELT B10E-7 FAULTED (481),RINSER,5,9.116666667
490 - FY MOTOR TT10Y-8 FAULTED (490),FILLER CONV,5,538.85
491 - DB1-MT10DB-19 MOTOR FAULT (491),DELIVERY BELT 1,5,299.4666667
492 - FC1-VSD10F-13 FAULTED (492),FULL CAN 1,5,9.283333333
513 - SW2-4 TO 5 JAM DETECTED (513),STRETCH WRAP 2,5,1.266666667
520 - SW2-10 TO 9 JAM DETECTED (520),STRETCH WRAP 2,5,3.783333333
558 - SW1-XFER PROX SWITCH FAULT M10SW12-8 (558),STRETCH WRAP 1,5,3.733333333
569 - FL FLR WASHOUT NOT IN CO2 (569),FILLER,5,447.5
571 - AL SIDE PUSHER CYLINDER MOTION (571),ALF DEBAGGER,5,22.03333333
608 - MP UPPER TIER FILTEC SYSTEM FAILURE (608),Maxim Packer,5,12.15
613 - PS *ZONE 6 LOW TEMP FAULT (613),PASTEURIZER,5,30.93333333
626 - AL2-PACK ASSIST CYLINDER MOTION (626),ALF LID DEPAL,5,24.08333333
628 - PS *ZONE 5 HIGH TEMP FAULT (628),PASTEURIZER,5,29.41666667
673 - CL CLOSER WASHOUT NOT IN CO2 (673),SEAMER,5,401.7833333
681 - DP TO PV FWD OVER-TRAVEL Y-AXIS (681),DEPALLETIZER,5,24.36666667
693 - CL N2 SYSTEM PLC COMM FAULT (693),SEAMER,5,167
756 - DB1-CASE COUNT EYE EE10DB-33-B DEVIATION (756),DELIVERY BELT 1,5,5.183333333
776 - BP ANTON-PAAR OVERIDDEN BY SUPERVISOR (776),BEER PIPE,5,526.05
86 - FL FILLER COUNTERPRESSURE NOT IN AUTO (86),FILLER,5,2.833333333
99 - DB2-MT10DB-36 NOT IN AUTO AT CST10DB36 (99),DELIVERY BELT 2,5,8.3
103 - FC1-VSD10F-9 NOT IN AUTO AT EEP10F1 (103),FULL CAN 1,4,0.4
105 - FC2 TT10F-34 NOT IN AUTO EEP10F2 (105),FULL CAN 2,4,1.4
109 - DB1-MT10DB-19 STOPPED BUT AUX CONTACT CLOSED(109),DELIVERY BELT 1,4,0.083333333
110 - DB2-MT10DB-50 NOT IN AUTO AT CST10DB50 (110),DELIVERY BELT 2,4,4.35
117 - FC1-VSD10F-24 NOT IN AUTO AT EEP10F1 (117),FULL CAN 1,4,1.55
123 - FC2 TT10F-36 NOT IN AUTO AT WKS (123),FULL CAN 2,4,1.083333333
130 - RS B10E-7 NOT IN AUTO AT CST10E-7 (130),RINSER,4,6.583333333
134 - RS AB10E-12 NOT IN AUTO AT CST10E-12 (132),RINSER,4,3.816666667
142 - FC1-EAST FILTEC CNV NOT IN AUTO CST10F11 (142),FULL CAN 1,4,2.533333333
149 - FC1-FILTEC #3 FAULTED (149),FULL CAN 1,4,37.98333333
1619 - MP AXIS 3 POSITION ERROR FAULT (1619),Maxim Packer,4,1.983333333
163 - AL PLC RACK # 3 FAULTED (163),ALF DEBAGGER,4,11.51666667
164 - PL2-RACK 10 1ST 1/4 FLT DSCH CNV REDIPNL (164),PALLETIZER 2,4,163.4833333
19 - DC2-SAFETY FENCE AC-8 TO 12 FAULT (19),WOOD OUT,4,5.266666667
246 - PS *BLOCK XFER ERR AN OUT 1771-OFE 0/2/1 (246),PASTEURIZER,4,644.4666667
36 - MP GUARD DOOR 21 OPEN (36),Maxim Packer,4,63.25
3 - FC2 E-STOP PRESSED AT CST10F30B (3),FULL CAN 2,4,257.9166667
3 - SW1 E-STOP PRESSED 10SW15-35E @ CONV.36 (3),STRETCH WRAP 1,4,76.03333333
418 - FC1-BLR10F-2 NOT IN AUTO AT EEP10F1 (418),FULL CAN 1,4,13.51666667
420 - CJ HANDWHEEL FAULT (420),12/12 Packer,4,256.6666667
421 - DP INFEED CONV #6 JAM MOVING LOAD (421),DEPALLETIZER,4,5.5
